"Dam Name","State","Downstream Hazard Potential","Incident Type","Incident Date","Incident Driver","Incident Mechanism 1","Incident Mechanism 2","Incident Mechanism 3","Incident ID","Incident Description","Named Hydrologic Event","EAP Enacted (Y/N) due to Incident","Fatalities (Number)","Number of People Evacuated","Number of Habitable Structures Evacuated","Number of Habitable Structures Flooded","Other Infrastructure Impacts","Economic Damages (in $)","Response","Volume released at failure (ac-ft)","Additional Remarks or Updates","Owner Type","Dam Type","Primary Purpose(s)","EAP","Dam Height","Max Storage (ac-ft)","Surface Area (acres)","Year Completed","NID Number","River Name","Latitude","Longitude","Year Modified","Regulatory Agency(ies)","Incident Time","Incident Duration","Incident Report Produced","Information Sources","Attachments"
"ROCKY GORGE DAM","MD","H","Non-failure","04/30/2014","Hydrologic/flooding","High Reservoir Level","","","MD00020-2660","Large rain event during construction with exposed vulnerabilit","","Yes","0","400","","","","","","","","L","CBCN","SR","Y","134 ft","22000 ac-ft","773 acres","1953","MD00020","PATUXENT RIVER","39.1167","-76.8751","2014","MD Dam Safety","","","","MD Dam Safety",""
"ROGERS LAKE DAM","TX","L","Failure","","Unknown","Unknown","","","TX02356-3289","FAILURE OF DAM","","","","","","","","","","","","P","RE","S","NR","20 ft","216 ac-ft","18 acres","1962","TX02356","TR-SYPERT BRANCH","30.9065","-97.2317","0","TCEQ","","","","TCEQ",""
"ROGERS LAKE DAM","TX","L","Failure","01/03/2019","Unknown","Unknown","","","TX02356-3390","","","","0","","","","","","","","","P","RE","S","NR","20 ft","216 ac-ft","18 acres","1962","TX02356","TR-SYPERT BRANCH","30.9065","-97.2317","0","TCEQ","","","","TX Dam Safety",""
"ROLLING VISTA DAM","IN","H","Non-failure","04/27/2015","Unknown","Under Investigation","","","IN00000-2621","The 20 year old corrugated metal principal spillway pipe is failing A substantial sinkhole has opened above the pipe indicating that embankment material has been eroded out There are stress cracks on the top and slope of the embankment Further the emba","","","","","","","","","","","This is a 24 foot high undocumented dam appears to both large enough to be State Regulated and High Hazard. It is situated southeast of Mooresville, north of SR 144 and approximately a mile west of Mann Road.","","RE","","","1991 ft","0 ac-ft","0 acres","0","IN00000","","0","0","0","","","","","",""
"ROSE HILL DAM","SD","L","Failure","07/30/2010","Hydrologic/flooding","Overtopping","","","SD00759-3252","","","No","0","","","","","Unknown","","","low hazard dam so was not required to have an EAP, also no habitable structures in the downstream flood plain","S","RE","R","NR","38 ft","950 ac-ft","32 acres","1935","SD00759","TR-SAND CREEK","0","0","0","SD DENR","","","No","SD DENR",""
"RUNNING HARE VINEYARD LAKE","MD","L","Non-failure","08/04/2020","Hydrologic/flooding","Insufficient Spillway Capacity","Overtopping","Erosion","MD00187-3431","Significant headcut from overtoping near left abut","TS Isaias","No","0","0","0","0","Roads","Unknown","Lower lake level. Install temporary aggregate berm to stabilize until repaired","","Access road to vinyard property damaged. MDE learned of event via social media.","P","RE","F","NR","20 ft","91 ac-ft","6 acres","1970","MD00187","CYPRESS SWAMP-TR","38.5047","-76.6134","1970","MD DAM SAFETY","","17 days","Yes","MD Dam Safety",""
"RUSK ORE MINE DAM","TX","L","Non-failure","06/20/1993","Hydrologic/flooding","Overtopping","","","TX00589-2762","OVERTOPPING, DID NOT BREACH","","","","","","","","","","","","L","RE","R","NR","23 ft","680 ac-ft","0 acres","1953","TX00589","TR-BEANS CREEK","31.8003","-95.1967","0","TCEQ","","","","TX DEQ",""
"RUSK ORE MINE DAM","TX","L","Non-failure","03/29/1989","Hydrologic/flooding","Overtopping","","","TX00589-2785","OVERTOPPING, DID NOT BREACH","","","","","","","","","","","","L","RE","R","NR","23 ft","680 ac-ft","0 acres","1953","TX00589","TR-BEANS CREEK","31.8003","-95.1967","0","TCEQ","","","","TX DEQ",""
"RYERSON STATION","PA","H","Non-failure","06/28/2005","Seepage/internal Erosion","Cracking","Excessive/increased Seepage","","PA00193-3216","NORMAL INSPECTION SHOWED CRACKING AND SEEPAGE POSSIBLY RELATED TO NEARBY UNDERGROUND MINING","","Yes","0","","1","","Other","$25 million to $50 million","DAM WAS DRAWN DOWN 10 FEET AND EVENTUALLY BREACHED.","","ONGOING MONITORING SHOWN CONTINUING MOVEMENT.  REBUILDING PLAN WAS ABANDONED IN 2015. LOSS OF PUBLIC BOATING AND FISHING OPPORTUNITIES AT A STATE PARK.","S","CNPG","R","N","42 ft","3500 ac-ft","62 acres","1960","PA00193","NORTH FORK DUNKARD FORK","39.89","-80.4494","0","PENNSYLVANIA DEPARTMENT OF ENVIRONMENTAL PROTECTION","","","","PA Dam Safety",""
"SAFFIN POND DAM","NJ","S","Failure","08/27/2011","Hydrologic/flooding","Piping","","","NJ00339-1193","seepage/piping failure during construction due to poor embankment materials","Irene","No","","0","","","","","","95 ac-ft","","L","PGRE","R","Y","24 ft","147 ac-ft","14 acres","1930","NJ00339","WELDON BROOK","41.0043","-74.587","0","NJDEP","","","","",""
"SAGE CREEK DAM","MT","U","Failure","02/14/2011","Hydrologic/flooding","Spillway Erosion/head Cutting","","","MT00000-981","Rain and snowmelt resulted in headcut of spillway and eventual failure over several weeks.","","No","","0","","0","Roads","","","","local road flooded","","RE","","","0 ft","0 ac-ft","0 acres","0","MT00000","SAGE CREEK","47","108","0","MTDNRC","","","","",""
"SALES INTERNATIONAL DAM","SC","L","Failure","10/08/2016","Hydrologic/flooding","Unknown","","","SC01981-2995","Hurricane Matthew","Matthew","No","0","0","0","0","","","","","","P","RE","R","N","25 ft","228 ac-ft","20 acres","1965","SC01981","POLK SWAMP CREEK","34.245","-79.67","0","SCDHEC","","1 Day","No","SC DHEC",""
"SALINAS RIVER DIVERSION","CA","L","Non-failure","06/17/2011","Seepage/internal Erosion","Erosion","","","CA00000-1383","High flows through the regulating Obermeyer gate scoured and piped the left abutment area. A sinkhole formed in the left abutment, downstream of the dam.  A void underneath the fish ladder and material piped into river.","","","","0","","0","None","","","","","","","I","","16 ft","0 ac-ft","0 acres","2006","CA00000","SALINAS","37","-122","0","CA DSOD","","","","",""
"SALTVILLE MUCK OR MATHIESON ALAKALI WORKS","VA","","Failure","12/24/1924","Unknown","Unknown","","","VA00000-217","","","No","19","","","","","","","","Palmertown Tragedytons of waste raced through the tiny community of Palmertown. Pieces of the dam and boulders of muck blocked the North Fork of the Holston River, sending the flood upstream into the even smaller community of Chinch Row. Fatalities: 19 -","","RE","T","","100 ft","0 ac-ft","0 acres","0","VA00000","HOLSTON","0","0","0","","","","","",""
"SAN FERNANDO","CA","","Failure","02/09/1971","Seismic","Unknown","","","CA00000-124","","","Yes","","80000","","","","","","","Incident. 142-high, 2,100-long hydraulic fill dam constructed 1912-1915; Quake caused slide in upstream slope that lowered the crest ~ 30; reservoir drawn down over 3 days.","","HF","","","142 ft","0 ac-ft","0 acres","0","CA00000","","0","0","0","","","","","",""
"SAN GABRIELS OVERLOOK DAM","TX","S","Non-failure","09/08/2010","Hydrologic/flooding","Overtopping","","","TX00000-1220","Dam overtopped, but did not breach","","No","","0","","0","","","","","","","RE","R","","25 ft","0 ac-ft","0 acres","1960","TX00000","TRIBUTARY OF SOUTH FORK SAN GABRIEL RIVER","0","0","0","TCEQ","","","","",""
"SANDSTONE LAKE DAM","MS","L","Non-failure","03/11/2016","Hydrologic/flooding","Overtopping","","","MS03679-2955","","","","0","","0","0","","","","","","P","RE","R","NR","16 ft","200 ac-ft","14 acres","2006","MS03679","CEDAR GROVE CREEK","33.7639","-88.3619","0","MS Dept. of Environmental Quality","12:00 PM","","","MS DEQ",""
"SANDY RUN, 5 OTHERS","PA","","Failure","07/01/1977","Unknown","Unknown","","","PA00000-133","","","No","5","","","","","","","","Precise date unknown. Fatalities: 5 -","","","","","0 ft","0 ac-ft","0 acres","0","PA00000","","0","0","0","","","","","",""
"SANFORD","MI","H","Failure","05/19/2020","Hydrologic/flooding","Overtopping","","","MI00550-3512","The failure was the result of embankment overtopping. The breach outflows from Wixom Lake after the failure of Edenville Dam caused the water level in Sanford Lake to rise more quickly than could be accommodated by the spillways at Sanford Dam.","","Yes","0","11000","3000","3000","Roads","over $100 million","See IFT Report","15000 ac-ft","According to the 2020 major disaster declaration request by the State (Michigan 2020), the damage across a five-county area was estimated at roughly $190 million in losses for residents. Over 3,000 homes were affected, and there was $55 million in damage to public infrastructure.","P","CNMV","H","Y","36 ft","15000 ac-ft","1526 acres","1925","MI00550","TITTAWABASSEE RIVER","43.6769","-84.3803","0","MICHIGAN DEQ","","","Yes","2022 IFT Report","Y"
"SANTA CLARA","UT","H","Failure","09/11/2012","Deterioration Or Poor Condition","Animal Activity","","","UT00443-1865","Internal erosion likely initiated through animal burrows during a heavy precipitation event.","","Yes","","","","66","","$5 million to $10 million","","78 ac-ft","66 homes, 18 businesses flooded.  EAP initiated, no one hurt, no fatalities.","L","RE","C","Y","40 ft","70 ac-ft","0 acres","1919","UT00443","UNNAMED TRIB. TO SANTA CLARA","37.1292","-113.637","0","","","","","",""
"SAVAGE RIVER","MD","","Failure","01/01/2008","Unknown","Unknown","","","MD00000-150","","","No","","","","","","","","","Bonneted gate failure and lake lowered 70 feet below normal as precaution.","","","","","0 ft","0 ac-ft","0 acres","0","MD00000","SAVAGE","0","0","0","","","","","",""
"SCENIC LAKE DAM","NJ","L","Non-failure","08/27/2011","Hydrologic/flooding","Piping","","","NJ00678-1191","seepage, portion of d/s slope failed","Irene","No","","0","","","","","","0 ac-ft","","P","PGRE","R","NR","35 ft","96 ac-ft","8 acres","0","NJ00678","WALLKILL RIVER-TR","41.1837","-74.5632","0","NJDEP","","","","",""
"SCHAGHTICOKE","NY","S","Non-failure","08/28/2011","Hydrologic/flooding","High Reservoir Level","","","NY00118-1322","Brookfield Renewable Power (Owner) activated EAP Condition C ¿ High Flow, non-failure.  Hurricane Irene","Irene","Yes","","","","","","","","","","P","CNPG","H","Y","28 ft","795 ac-ft","150 acres","1909","NY00118","HOOSIC RIVER","42.8936","-73.5887","2000","NYS DEC","","","","",""
"SCHMIDT AG IRRIG DAM","NE","L","Failure","02/01/2019","Seepage/internal Erosion","Piping","","","NE05530-3374","Piping along spillway conduit after first fill. Poor compaction and dispersive soil suspected.","","","0","0","0","0","None","$1 to $100,000","","49 ac-ft","Unapproved Dam. No downstream damage","P","RE","I","NR","21 ft","260 ac-ft","11 acres","2018","NE05530","TR-CUB CREEK","40.1993","-97.098","0","NE DNR","","","No","NE Dam Safety",""
"SCHOOL SECTION LAKE","WI","L","Failure","05/10/2018","Seepage/internal Erosion","Animal Activity","Piping","","WI01142-3339","Embankment failure","","No","0","0","0","0","None","","","","","L","PGRE","OR","N","8 ft","700 ac-ft","117 acres","1937","WI01142","SCHOOL SECTION LAKE OUTLET","42.9828","-88.5088","1938","WIDNR","","","Unknown","WI DNR",""
"SCHOONMAKER LAKE DAM","NY","S","Non-failure","08/28/2011","Hydrologic/flooding","Overtopping","","","NY13232-1304","Owner notified dam was overtopping during 8/28/11 week-end.  Minor erosion on dam where it overtopped (8/31/2011). Headcutting has progressed to the mortared stone upstream face.  Hurricane Irene","Irene","Yes","","","","","","","","","","P","EROT","R","Y","16 ft","16 ac-ft","2 acres","1912","NY13232","PERRY CREEK","41.4047","-74.1514","0","NYS DEC","","","","",""
"SCNONAME 02019","SC","L","Failure","10/04/2015","Hydrologic/flooding","Overtopping","","","SC00305-2616","Heavy rains-as much as 16 inches caused several dams to overtop and fail.","","","","","","","","","","","","P","RE","R","N","14 ft","85 ac-ft","12 acres","1945","SC00305","GOODLAND CREEK","33.595","-81.2867","0","SCDHEC","","","","SC DHEC Website",""
"SCNONAME 02027","SC","L","Failure","10/04/2015","Hydrologic/flooding","Overtopping","","","SC00312-2615","Heavy rains-as much as 16 inches caused several dams to overtop and fail.","","","","","","","","","","","","P","RE","R","N","17 ft","308 ac-ft","35 acres","1955","SC00312","HOLLOW CREEK","33.6467","-81.2117","0","SCDHEC","","","","SC DHEC Website",""
"SCNONAME 02110","SC","L","Failure","10/04/2015","Hydrologic/flooding","Overtopping","","","SC00378-3046","Heavy rains-as much as 16 inches caused several dams to overtop and fail.","","","","","","","","","","","","P","RE","R","N","36 ft","132 ac-ft","18 acres","1963","SC00378","","33.5883","-81.345","0","SCDHEC","","","","SC DHEC",""
"SCNONAME 09031","SC","L","Failure","10/04/2015","Hydrologic/flooding","Overtopping","","","SC00594-3048","Heavy rains-as much as 16 inches caused several dams to overtop and fail.","","","","","","","","","","","","P","RE","R","N","18 ft","106 ac-ft","25 acres","1938","SC00594","","33.5833","-80.5967","0","SCDHEC","","","","SC DHEC",""
"SCNONAME 09040","SC","L","Failure","10/04/2015","Hydrologic/flooding","Overtopping","","","SC00603-3049","Heavy rains-as much as 16 inches caused several dams to overtop and fail.","","","","","","","","","","","","P","RE","R","N","15 ft","109 ac-ft","21 acres","1930","SC00603","","33.56","-80.7383","0","SCDHEC","","","","SC DHEC",""
"SCNONAME 14001","SC","L","Failure","10/04/2015","Hydrologic/flooding","Overtopping","","","SC00718-2618","Heavy rains-as much as 16 inches caused several dams to overtop and fail.","","","","","","","","","","","","P","RE","R","N","15 ft","263 ac-ft","36 acres","1900","SC00718","MILL BRANCH","33.8133","-80.09","0","SCDHEC","","","","SC DHEC Website",""
"SCNONAME 14003","SC","L","Failure","10/04/2015","Hydrologic/flooding","Overtopping","","","SC00720-3056","Heavy rains-as much as 16 inches caused several dams to overtop and fail.","","","","","","","","","","","","P","RE","R","N","15 ft","91 ac-ft","26 acres","1960","SC00720","TR-BIG BRANCH","33.6533","-80.4433","0","SCDHEC","","","","SC DHEC",""
"SCNONAME 14005","SC","L","Failure","10/04/2015","Hydrologic/flooding","Overtopping","","","SC00722-3051","Heavy rains-as much as 16 inches caused several dams to overtop and fail.","","","","","","","","","","","","P","RE","R","N","13 ft","320 ac-ft","34 acres","1900","SC00722","","33.8483","-80.005","0","SCDHEC","","","","SC DHEC",""
"SCNONAME 14008","SC","L","Failure","10/04/2015","Hydrologic/flooding","Overtopping","","","SC00725-3052","Heavy rains-as much as 16 inches caused several dams to overtop and fail.","","","","","","","","","","","","P","RE","R","N","16 ft","92 ac-ft","34 acres","1875","SC00725","","33.6533","-80.495","0","SCDHEC","","","","SC DHEC",""
"SCNONAME 14015","SC","L","Failure","10/08/2016","Hydrologic/flooding","Overtopping","","","SC00731-2987","Heavy rains-as much as 16 inches caused several dams to overtop and fail.","Matthew","No","0","0","0","0","","","","","","P","RE","R","N","9 ft","144 ac-ft","24 acres","1955","SC00731","LAKEWOOD CREEK","33.7333","-80.0917","0","SCDHEC","","1 Day","No","SC DHEC",""
"SCNONAME 16006","SC","S","Failure","10/04/2015","Hydrologic/flooding","Overtopping","","","SC00612-2620","Heavy rains-as much as 16 inches caused several dams to overtop and fail.","","","","","","","","","","","","P","RE","R","N","20 ft","357 ac-ft","28 acres","1957","SC00612","SEED BRANCH","34.42","-79.9417","0","SCDHEC","","","","SC DHEC Website",""
"SCNONAME 16011","SC","L","Failure","10/08/2016","Hydrologic/flooding","Unknown","","","SC00617-2988","Hurricane Matthew","Matthew","No","0","0","0","0","Roads","","","","","P","RE","R","N","15 ft","209 ac-ft","22 acres","1961","SC00617","TR-STAR FORK BRANCH","34.2533","-79.835","0","SCDHEC","","1 Day","No","SC DHEC",""
"SCNONAME 28045","SC","L","Failure","10/04/2015","Hydrologic/flooding","Overtopping","","","SC00484-3047","Heavy rains-as much as 16 inches caused several dams to overtop and fail.","","","","","","","","","","","","P","RE","R","N","20 ft","112 ac-ft","7 acres","1955","SC00484","","34.1117","-80.7517","0","SCDHEC","","","","SC DHEC",""
"SCNONAME 31009","SC","S","Failure","10/04/2015","Hydrologic/flooding","Overtopping","","","SC00498-2644","Heavy rains-as much as 16 inches caused several dams to overtop and fail.","","","","","","","","","","","","P","RE","I","Y","15 ft","312 ac-ft","24 acres","1930","SC00498","TURKEY CREEK","0","0","1998","SCDHEC","","","","SC DHEC Website",""
"SCNONAME 32008","SC","S","Failure","10/04/2015","Hydrologic/flooding","Overtopping","","","SC00148-2624","Heavy rains-as much as 16 inches caused several dams to overtop and fail.","","","","","","","","","","","","L","RE","R","Y","14 ft","359 ac-ft","64 acres","1900","SC00148","TWELVE MILE CREEK","33.9583","-81.26","0","SCDHEC","","","","SC DHEC Website",""
"SCNONAME 32094","SC","L","Failure","10/04/2015","Hydrologic/flooding","Overtopping","","","SC01354-3040","Heavy rains-as much as 16 inches caused several dams to overtop and fail.","","","","","","","","","","","","P","RE","R","N","14 ft","72 ac-ft","10 acres","1910","SC01354","","33.73","-81.0367","0","SCDHEC","","","","SC DHEC",""
"SCNONAME 32095","SC","H","Non-failure","03/30/2011","Deterioration Or Poor Condition","Animal Activity","","","SC01361-982","Animal Burrow through dam","","","","","","","","","","","","P","RE","R","Y","23 ft","93 ac-ft","6 acres","1950","SC01361","TR-KOON BRANCH","34.0633","-81.19","1989","SCDHEC","","","","",""
"SCNONAME 38011","SC","S","Failure","10/04/2015","Hydrologic/flooding","Overtopping","","","SC00407-3054","Heavy rains-as much as 16 inches caused several dams to overtop and fail.","","","","","","","","","","","","P","RE","R","Y","13 ft","108 ac-ft","15 acres","1920","SC00407","","33.525","-80.935","0","SCDHEC","","","","SC DHEC",""
"SCNONAME 38036","SC","L","Failure","10/04/2015","Hydrologic/flooding","Overtopping","","","SC00419-2628","Heavy rains-as much as 16 inches caused several dams to overtop and fail.","","","","","","","","","","","","P","RE","R","N","10 ft","181 ac-ft","32 acres","1960","SC00419","BROWNING BRANCH","33.5217","-80.515","0","SCDHEC","","","","SC DHEC Website",""
"SCNONAME 38066","SC","S","Failure","10/04/2015","Hydrologic/flooding","Overtopping","","","SC00444-2627","Heavy rains-as much as 16 inches caused several dams to overtop and fail.","","","","","","","","","","","","P","RE","R","Y","13 ft","182 ac-ft","25 acres","1960","SC00444","TAMPA CREEK","33.5333","-81.2367","0","SCDHEC","","","","SC DHEC Website",""
"SCNONAME 38070","SC","L","Failure","10/04/2015","Hydrologic/flooding","Overtopping","","","SC00447-2626","Heavy rains-as much as 16 inches caused several dams to overtop and fail.","","","","","","","","","","","","P","RE","R","N","14 ft","87 ac-ft","12 acres","1960","SC00447","SALEM CREEK","33.6367","-81.16","0","SCDHEC","","","","SC DHEC Website",""
"SCNONAME 40002","SC","H","Failure","10/04/2015","Hydrologic/flooding","Overtopping","","","SC00047-2633","Heavy rains-as much as 16 inches caused several dams to overtop and fail.","","","","","","","","","","","","P","RE","R","N","10 ft","260 ac-ft","32 acres","1900","SC00047","CRANE CREEK","34.115","-80.9833","0","SCDHEC","","","","SC DHEC Website",""
"SCNONAME 40005","SC","H","Failure","10/04/2015","Hydrologic/flooding","Overtopping","","","SC00050-2629","Heavy rains-as much as 16 inches caused several dams to overtop and fail.","","","","","","","","","","","","P","RE","R","Y","20 ft","960 ac-ft","68 acres","1938","SC00050","JACKSON CREEK","34.0483","-80.9583","1988","SCDHEC","","","","SC DHEC Website",""
"SCNONAME 40026","SC","H","Failure","10/04/2015","Hydrologic/flooding","Overtopping","","","SC00069-2631","Heavy rains-as much as 16 inches caused several dams to overtop and fail.","","","","","","","","","","","","P","RE","R","Y","20 ft","230 ac-ft","21 acres","1900","SC00069","GILLS CREEK","34.0367","-80.955","0","SCDHEC","","","","SC DHEC Website",""
"SCNONAME 40027","SC","H","Failure","10/04/2015","Hydrologic/flooding","Overtopping","","","SC00070-2630","Heavy rains-as much as 16 inches caused several dams to overtop and fail.","","","","","","","","","","","","P","RE","R","Y","20 ft","297 ac-ft","25 acres","1955","SC00070","GILLS CK","34.04","-80.9517","0","SCDHEC","","","","SC DHEC Website",""
"SCOTIA LOG POND","CA","H","Non-failure","02/04/2021","Seepage/internal Erosion","Excessive/increased Seepage","","","CA00504-3434","Owner reported seepage at the toe of the dam.  Investigation found decayed stumps in the area where seepage was observed.","","No","0","0","0","0","None","None","Reservoir elevaiton lowered back to its restricted elevation, 2.7' below the drop inlet spillway.","","","L","RE","ST","N","24 ft","210 ac-ft","30 acres","1910","CA00504","TR EEL RIVER","40.4786","-124.108","0","DWR, SAFETY OF DAMS","","","Yes","CA DSOD",""
"SCOTS FANCY","MD","","Failure","01/01/2008","Unknown","Unknown","","","MD00000-156","","","No","","","","","","","","","spillway  collapsed after 15+ years of service.","","","","","0 ft","0 ac-ft","0 acres","0","MD00000","","0","0","0","","","","","",""
"SECORD","MI","H","Non-failure","05/19/2020","Hydrologic/flooding","High Reservoir Level","","","MI00547-3513","High reservoir levels from the same flood that caused the Edenville and Sanford failures. See attached IFT Report for those failures.","","Yes","0","","","","","","See IFT Report","","","P","PG","CH","Y","57 ft","15000 ac-ft","1100 acres","1925","MI00547","TITTAWABASSEE RIVER","44.0411","-84.3419","0","MICHIGAN DEQ","","","Yes","2022 IFT Report","Y"
"SEELEY'S MILL POND DAM","NJ","S","Failure","08/14/2011","Hydrologic/flooding","Overtopping","","","NJ00065-1182","overtopped and breached","","No","","0","","","Roads","","","186 ac-ft","Road collapsed/closed","","PGRE","I","N","18 ft","0 ac-ft","69 acres","0","NJ00065","COHANSEY RIVER","39.4876","-75.2584","0","NJDEP","","","","",""
"SENATOBIA LAKES INCORPORATED POND DAM","MS","L","Non-failure","03/12/2015","Deterioration Or Poor Condition","Spillway Pipe Failure","","","MS01131-2607","FAILURE OF THE PRIMARY SPILLWAY (CMP) THAT WAS PREVIOUSLY FILLED WITH CONCRETE","","No","0","1","0","0","","","","","A 20 FT WIDE CUT WAS MADE TO ACT AS THE PRIMARY SPILLWAY. HOA WAS ADVISED TO KEEP THE LAKE LEVEL LOWER UNTIL REPAIRS ARE MADE OR THE DAM IS BREACHED","P","RE","R","NR","14 ft","75 ac-ft","0 acres","1970","MS01131","TR- HICKAHALA CREEK","34.625","-89.875","0","MS Dept. of Environmental Quality","","","","",""
"SENATOBIA LAKES INCORPORATED POND DAM","MS","L","Non-failure","07/01/2015","Structural Stability","Slope Stability","","","MS01131-2944","","","","0","","0","0","None","","","0 ac-ft","","P","RE","R","NR","14 ft","75 ac-ft","0 acres","1970","MS01131","TR- HICKAHALA CREEK","34.625","-89.875","0","MS Dept. of Environmental Quality","","","","MS DEQ",""
"SEVEN LAKES DAM #3","MO","H","Non-failure","04/30/2011","Structural Stability","Sliding","","","MO31032-1384","Small slide on downstream face during intense rainfall event","","No","","0","","0","","","","","","P","RE","R","Y","45 ft","1300 ac-ft","61 acres","1944","MO31032","GOOSE CREEK","37.2544","-90.6352","0","DAM AND RESERVOIR SAFETY PROG","","","","",""
"SEVERAL SMALL UNREGULATED DAMS","VA","","Failure","01/01/2008","Unknown","Unknown","","","VA00000-178","","","No","","","","","","","","","Some small unregulated dams failed during the past year.  The total number of failures and extent of damages are not known.  Known dams that failed (unregulated) were greater than 8 feet but less than 25 feet in height.","","","","","0 ft","0 ac-ft","0 acres","0","VA00000","","0","0","0","","","","","",""
"SGL #69 DAM 13","PA","L","Non-failure","01/01/2014","Other","Animal Activity","Debris Clogging","","PA00000-3226","DAMS BUILT FOR WATERFOWL DAMAGED BY BEAVERS BLOCKING SPILLWAYS & ASSOCIATED HIGH WATER.","","","0","0","0","0","Dams Downstream","","DAMS REMOVED AND NATURAL WATERWAYS RESTORED.","","THESE DAMS WERE INEFFECTIVE IN ATTRACTING WATER FOWL.","S","RE","F","","0 ft","0 ac-ft","0 acres","0","PA00000","WEST BRANCH SUGAR CREEK","41.3808","-79.5348","0","PADEP","","","","PA Dam Safety",""
"SHADOW LAKE DAM","NJ","S","Non-failure","08/27/2011","Hydrologic/flooding","Overtopping","","","NJ00090-1188","overtopped, embankment/road damage","Irene","No","","0","","","","","","0 ac-ft","","L","PGRE","R","Y","16 ft","0 ac-ft","83 acres","1931","NJ00090","QUIOLEY CREEK","40.3528","-74.085","0","NJDEP","","","","",""
"SHANTY DRIVE DAM","NJ","L","Non-failure","08/27/2011","Hydrologic/flooding","Overtopping","","","NJ00000-1196","erosion of downstream embankment possible due to overtopping or roadway runoff","Irene","No","","0","","","","","","0 ac-ft","","","RE","R","","9 ft","0 ac-ft","0 acres","0","NJ00000","HAYNES CREEK-TR","0","0","0","NJDEP","","","","",""
"SHEFFIELD","CA","","Failure","06/01/1925","Seismic","Other","","","CA00000-188","the dam failed by liquefaction, a fact borne out by the following paper: https://cedb.asce.org/CEDBsearch/record.jsp?dockey=0016249","","No","","","","","","","","","Precise date unknown.  25-high hydraulic fill dam, 7 miles from the epicenter of a 6.3 Richter magnitude quake. The embankment & foundation were comprised primarily of loose silty sand, & seepage had saturated the foundation & lower part of the fill, res https://projects.eri.ucsb.edu/sb_eqs/1925/sheffield.html https://cedb.asce.org/CEDBsearch/record.jsp?dockey=0016249","","HF","","","25 ft","92 ac-ft","0 acres","1917","CA00000","","0","0","0","","","","Yes","",""
"SHELBURNE","NH","L","Non-failure","08/28/2011","Hydrologic/flooding","Overtopping","","","NH00052-1148","High flows overtopped the dam,eroded abutments and downstream of cutoff walls and flooded powerhouse","Irene","","","0","","0","Bridges","","","0 ac-ft","Lost power generation from dam. Minor damage to North Road bridge immediately downstream of dam. Short term closing of North Road bridge due to overtopping","P","CNPG","HC","NR","17 ft","960 ac-ft","210 acres","1906","NH00052","ANDROSCOGGIN RIVER","44.4042","-71.1157","1990","NH DEPARTMENT OF ENVIRONMENTAL SERVICES DAM BUREAU","","","","","Y"
"SHORES OF CALVERT","MD","","Failure","01/01/2008","Unknown","Unknown","","","MD00000-157","","","No","","","","","","","","","Spillway  collapsed after 40+ years of service","","","","","0 ft","0 ac-ft","0 acres","0","MD00000","","0","0","0","","","","","",""
"SHREVE LAKE DAM","OH","H","Non-failure","09/01/2014","Deterioration Or Poor Condition","Spillway Pipe Failure","Sinkhole","","OH00436-2652","Sink hole discovered on downstream slope directly over the principal spillway pipe. Bad joint. Lake drained until repairs can be made.","","No","0","0","0","0","","","","","","S","RE","R","Y","25 ft","855 ac-ft","59 acres","1962","OH00436","TRIBUTARY TO SHREVE CREEK","40.68","-82.04","0","DEPARTMENT OF NATURAL RESOURCES","","","","OH DNR",""
"SID WHITE","WA","","Failure","05/01/1971","Seepage/internal Erosion","Piping","","","WA00000-125","","","No","","","","","","","","","Seepage thru animal burrows. Earthen dam failed, causing second dam to fail and dump debris into town of Riverside.","","","","","0 ft","0 ac-ft","0 acres","0","WA00000","","0","0","0","","","","","",""
"SILICA POND DAM","NH","S","Failure","07/01/2022","Deterioration Or Poor Condition","Gate/valve Failure","","","NH01098-3446","Failure of the low level gate resulted in the release of the impoundment.  The release was gradual, and it is understood that downstream economic loss was not inflicted.","","","0","0","0","0","None","Unknown","","4 ac-ft","The dam owner is presently evaluating reconstruction or removal options.","L","RE","R","NR","9 ft","29 ac-ft","3 acres","1935","NH01098","Unnamed","42.8227","-72.1869","0","NHDES","","1 day","","NHDES",""
"SILICA POND DAM","NH","S","Non-failure","07/18/2021","Hydrologic/flooding","High Reservoir Level","Overtopping","Insufficient Spillway Capacity","NH01098-3445","Overtopping along the right-side portion of the dam.","","","0","","","1","None","Unknown","","","The dam owner is presently evaluating reconstruction or removal options.","L","RE","R","NR","9 ft","29 ac-ft","3 acres","1935","NH01098","Unnamed","42.8227","-72.1869","0","NHDES","","1 day","","NHDES",""
"SILVER LAKE","NC","S","Failure","10/08/2016","Hydrologic/flooding","Overtopping","","","NC00896-2986","breached","Matthew","No","","","","","Other","$500,000 to $1 million","","","Lake Wilson impacted","P","REPGCN","R","N","13 ft","538 ac-ft","0 acres","0","NC00896","TOISNOT SWAMP","35.802","-77.949","0","","","1 day","","NCDEQ",""
